sample,image_file,mask_file,dist_file,outlier
sample_1096,train\crops\sample_1096_crop.nii.gz,train\crops\sample_1096_crop_label.nii.gz,train\dist_fields\sample_1096_distance_field_crop.nii.gz,0
sample_1090,train\crops\sample_1090_crop_warp_outlier.nii.gz,train\crops\sample_1090_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1090_distance_field_crop_warp_outlier.nii.gz,3
sample_1090,train\crops\sample_1090_crop_sphere_outlier_water.nii.gz,train\crops\sample_1090_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1090_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1090,train\crops\sample_1090_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1090_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1090_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1090,train\crops\sample_1090_crop.nii.gz,train\crops\sample_1090_crop_label.nii.gz,train\dist_fields\sample_1090_distance_field_crop.nii.gz,0
sample_1089,train\crops\sample_1089_crop_warp_outlier.nii.gz,train\crops\sample_1089_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1089_distance_field_crop_warp_outlier.nii.gz,3
sample_1089,train\crops\sample_1089_crop_sphere_outlier_water.nii.gz,train\crops\sample_1089_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1089_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1089,train\crops\sample_1089_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1089_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1089_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1089,train\crops\sample_1089_crop.nii.gz,train\crops\sample_1089_crop_label.nii.gz,train\dist_fields\sample_1089_distance_field_crop.nii.gz,0
sample_1086,train\crops\sample_1086_crop_warp_outlier.nii.gz,train\crops\sample_1086_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1086_distance_field_crop_warp_outlier.nii.gz,3
sample_1086,train\crops\sample_1086_crop_sphere_outlier_water.nii.gz,train\crops\sample_1086_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1086_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1086,train\crops\sample_1086_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1086_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1086_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1086,train\crops\sample_1086_crop.nii.gz,train\crops\sample_1086_crop_label.nii.gz,train\dist_fields\sample_1086_distance_field_crop.nii.gz,0
sample_1078,train\crops\sample_1078_crop_warp_outlier.nii.gz,train\crops\sample_1078_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1078_distance_field_crop_warp_outlier.nii.gz,3
sample_1078,train\crops\sample_1078_crop_sphere_outlier_water.nii.gz,train\crops\sample_1078_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1078_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1078,train\crops\sample_1078_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1078_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1078_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1078,train\crops\sample_1078_crop.nii.gz,train\crops\sample_1078_crop_label.nii.gz,train\dist_fields\sample_1078_distance_field_crop.nii.gz,0
sample_1077,train\crops\sample_1077_crop_warp_outlier.nii.gz,train\crops\sample_1077_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1077_distance_field_crop_warp_outlier.nii.gz,3
sample_1077,train\crops\sample_1077_crop_sphere_outlier_water.nii.gz,train\crops\sample_1077_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1077_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1077,train\crops\sample_1077_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1077_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1077_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1077,train\crops\sample_1077_crop.nii.gz,train\crops\sample_1077_crop_label.nii.gz,train\dist_fields\sample_1077_distance_field_crop.nii.gz,0
sample_1074,train\crops\sample_1074_crop_warp_outlier.nii.gz,train\crops\sample_1074_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1074_distance_field_crop_warp_outlier.nii.gz,3
sample_1074,train\crops\sample_1074_crop_sphere_outlier_water.nii.gz,train\crops\sample_1074_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1074_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1074,train\crops\sample_1074_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1074_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1074_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1074,train\crops\sample_1074_crop.nii.gz,train\crops\sample_1074_crop_label.nii.gz,train\dist_fields\sample_1074_distance_field_crop.nii.gz,0
sample_1071,train\crops\sample_1071_crop_warp_outlier.nii.gz,train\crops\sample_1071_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1071_distance_field_crop_warp_outlier.nii.gz,3
sample_1071,train\crops\sample_1071_crop_sphere_outlier_water.nii.gz,train\crops\sample_1071_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1071_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1071,train\crops\sample_1071_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1071_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1071_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1071,train\crops\sample_1071_crop.nii.gz,train\crops\sample_1071_crop_label.nii.gz,train\dist_fields\sample_1071_distance_field_crop.nii.gz,0
sample_1068,train\crops\sample_1068_crop_warp_outlier.nii.gz,train\crops\sample_1068_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1068_distance_field_crop_warp_outlier.nii.gz,3
sample_1068,train\crops\sample_1068_crop_sphere_outlier_water.nii.gz,train\crops\sample_1068_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1068_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1068,train\crops\sample_1068_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1068_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1068_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1068,train\crops\sample_1068_crop.nii.gz,train\crops\sample_1068_crop_label.nii.gz,train\dist_fields\sample_1068_distance_field_crop.nii.gz,0
sample_1067,train\crops\sample_1067_crop_warp_outlier.nii.gz,train\crops\sample_1067_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1067_distance_field_crop_warp_outlier.nii.gz,3
sample_1067,train\crops\sample_1067_crop_sphere_outlier_water.nii.gz,train\crops\sample_1067_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1067_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1067,train\crops\sample_1067_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1067_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1067_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1067,train\crops\sample_1067_crop.nii.gz,train\crops\sample_1067_crop_label.nii.gz,train\dist_fields\sample_1067_distance_field_crop.nii.gz,0
sample_1065,train\crops\sample_1065_crop_warp_outlier.nii.gz,train\crops\sample_1065_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1065_distance_field_crop_warp_outlier.nii.gz,3
sample_1065,train\crops\sample_1065_crop_sphere_outlier_water.nii.gz,train\crops\sample_1065_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1065_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1065,train\crops\sample_1065_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1065_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1065_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1065,train\crops\sample_1065_crop.nii.gz,train\crops\sample_1065_crop_label.nii.gz,train\dist_fields\sample_1065_distance_field_crop.nii.gz,0
sample_1063,train\crops\sample_1063_crop_warp_outlier.nii.gz,train\crops\sample_1063_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1063_distance_field_crop_warp_outlier.nii.gz,3
sample_1063,train\crops\sample_1063_crop_sphere_outlier_water.nii.gz,train\crops\sample_1063_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1063_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1063,train\crops\sample_1063_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1063_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1063_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1063,train\crops\sample_1063_crop.nii.gz,train\crops\sample_1063_crop_label.nii.gz,train\dist_fields\sample_1063_distance_field_crop.nii.gz,0
sample_1059,train\crops\sample_1059_crop_warp_outlier.nii.gz,train\crops\sample_1059_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1059_distance_field_crop_warp_outlier.nii.gz,3
sample_1059,train\crops\sample_1059_crop_sphere_outlier_water.nii.gz,train\crops\sample_1059_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1059_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1059,train\crops\sample_1059_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1059_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1059_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1059,train\crops\sample_1059_crop.nii.gz,train\crops\sample_1059_crop_label.nii.gz,train\dist_fields\sample_1059_distance_field_crop.nii.gz,0
sample_1057,train\crops\sample_1057_crop_warp_outlier.nii.gz,train\crops\sample_1057_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1057_distance_field_crop_warp_outlier.nii.gz,3
sample_1057,train\crops\sample_1057_crop_sphere_outlier_water.nii.gz,train\crops\sample_1057_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1057_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1057,train\crops\sample_1057_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1057_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1057_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1057,train\crops\sample_1057_crop.nii.gz,train\crops\sample_1057_crop_label.nii.gz,train\dist_fields\sample_1057_distance_field_crop.nii.gz,0
sample_1053,train\crops\sample_1053_crop_warp_outlier.nii.gz,train\crops\sample_1053_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1053_distance_field_crop_warp_outlier.nii.gz,3
sample_1053,train\crops\sample_1053_crop_sphere_outlier_water.nii.gz,train\crops\sample_1053_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1053_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1053,train\crops\sample_1053_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1053_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1053_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1053,train\crops\sample_1053_crop.nii.gz,train\crops\sample_1053_crop_label.nii.gz,train\dist_fields\sample_1053_distance_field_crop.nii.gz,0
sample_1051,train\crops\sample_1051_crop_warp_outlier.nii.gz,train\crops\sample_1051_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1051_distance_field_crop_warp_outlier.nii.gz,3
sample_1051,train\crops\sample_1051_crop_sphere_outlier_water.nii.gz,train\crops\sample_1051_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1051_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1051,train\crops\sample_1051_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1051_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1051_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1051,train\crops\sample_1051_crop.nii.gz,train\crops\sample_1051_crop_label.nii.gz,train\dist_fields\sample_1051_distance_field_crop.nii.gz,0
sample_1044,train\crops\sample_1044_crop_warp_outlier.nii.gz,train\crops\sample_1044_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1044_distance_field_crop_warp_outlier.nii.gz,3
sample_1044,train\crops\sample_1044_crop_sphere_outlier_water.nii.gz,train\crops\sample_1044_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1044_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1044,train\crops\sample_1044_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1044_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1044_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1044,train\crops\sample_1044_crop.nii.gz,train\crops\sample_1044_crop_label.nii.gz,train\dist_fields\sample_1044_distance_field_crop.nii.gz,0
sample_1042,train\crops\sample_1042_crop_warp_outlier.nii.gz,train\crops\sample_1042_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1042_distance_field_crop_warp_outlier.nii.gz,3
sample_1042,train\crops\sample_1042_crop_sphere_outlier_water.nii.gz,train\crops\sample_1042_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1042_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1042,train\crops\sample_1042_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1042_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1042_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1042,train\crops\sample_1042_crop.nii.gz,train\crops\sample_1042_crop_label.nii.gz,train\dist_fields\sample_1042_distance_field_crop.nii.gz,0
sample_1039,train\crops\sample_1039_crop_warp_outlier.nii.gz,train\crops\sample_1039_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1039_distance_field_crop_warp_outlier.nii.gz,3
sample_1039,train\crops\sample_1039_crop_sphere_outlier_water.nii.gz,train\crops\sample_1039_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1039_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1039,train\crops\sample_1039_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1039_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1039_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1039,train\crops\sample_1039_crop.nii.gz,train\crops\sample_1039_crop_label.nii.gz,train\dist_fields\sample_1039_distance_field_crop.nii.gz,0
sample_1038,train\crops\sample_1038_crop_warp_outlier.nii.gz,train\crops\sample_1038_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1038_distance_field_crop_warp_outlier.nii.gz,3
sample_1038,train\crops\sample_1038_crop_sphere_outlier_water.nii.gz,train\crops\sample_1038_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1038_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1038,train\crops\sample_1038_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1038_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1038_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1038,train\crops\sample_1038_crop.nii.gz,train\crops\sample_1038_crop_label.nii.gz,train\dist_fields\sample_1038_distance_field_crop.nii.gz,0
sample_1037,train\crops\sample_1037_crop_warp_outlier.nii.gz,train\crops\sample_1037_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1037_distance_field_crop_warp_outlier.nii.gz,3
sample_1037,train\crops\sample_1037_crop_sphere_outlier_water.nii.gz,train\crops\sample_1037_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1037_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1037,train\crops\sample_1037_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1037_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1037_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1037,train\crops\sample_1037_crop.nii.gz,train\crops\sample_1037_crop_label.nii.gz,train\dist_fields\sample_1037_distance_field_crop.nii.gz,0
sample_1036,train\crops\sample_1036_crop_warp_outlier.nii.gz,train\crops\sample_1036_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1036_distance_field_crop_warp_outlier.nii.gz,3
sample_1036,train\crops\sample_1036_crop_sphere_outlier_water.nii.gz,train\crops\sample_1036_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1036_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1036,train\crops\sample_1036_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1036_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1036_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1036,train\crops\sample_1036_crop.nii.gz,train\crops\sample_1036_crop_label.nii.gz,train\dist_fields\sample_1036_distance_field_crop.nii.gz,0
sample_1034,train\crops\sample_1034_crop_warp_outlier.nii.gz,train\crops\sample_1034_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1034_distance_field_crop_warp_outlier.nii.gz,3
sample_1034,train\crops\sample_1034_crop_sphere_outlier_water.nii.gz,train\crops\sample_1034_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1034_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1034,train\crops\sample_1034_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1034_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1034_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1034,train\crops\sample_1034_crop.nii.gz,train\crops\sample_1034_crop_label.nii.gz,train\dist_fields\sample_1034_distance_field_crop.nii.gz,0
sample_1032,train\crops\sample_1032_crop_warp_outlier.nii.gz,train\crops\sample_1032_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1032_distance_field_crop_warp_outlier.nii.gz,3
sample_1032,train\crops\sample_1032_crop_sphere_outlier_water.nii.gz,train\crops\sample_1032_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1032_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1032,train\crops\sample_1032_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1032_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1032_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1032,train\crops\sample_1032_crop.nii.gz,train\crops\sample_1032_crop_label.nii.gz,train\dist_fields\sample_1032_distance_field_crop.nii.gz,0
sample_1028,train\crops\sample_1028_crop_warp_outlier.nii.gz,train\crops\sample_1028_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1028_distance_field_crop_warp_outlier.nii.gz,3
sample_1028,train\crops\sample_1028_crop_sphere_outlier_water.nii.gz,train\crops\sample_1028_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1028_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1028,train\crops\sample_1028_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1028_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1028_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1028,train\crops\sample_1028_crop.nii.gz,train\crops\sample_1028_crop_label.nii.gz,train\dist_fields\sample_1028_distance_field_crop.nii.gz,0
sample_1027,train\crops\sample_1027_crop_warp_outlier.nii.gz,train\crops\sample_1027_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1027_distance_field_crop_warp_outlier.nii.gz,3
sample_1027,train\crops\sample_1027_crop_sphere_outlier_water.nii.gz,train\crops\sample_1027_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1027_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1027,train\crops\sample_1027_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1027_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1027_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1027,train\crops\sample_1027_crop.nii.gz,train\crops\sample_1027_crop_label.nii.gz,train\dist_fields\sample_1027_distance_field_crop.nii.gz,0
sample_1025,train\crops\sample_1025_crop_warp_outlier.nii.gz,train\crops\sample_1025_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1025_distance_field_crop_warp_outlier.nii.gz,3
sample_1025,train\crops\sample_1025_crop_sphere_outlier_water.nii.gz,train\crops\sample_1025_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1025_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1025,train\crops\sample_1025_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1025_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1025_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1025,train\crops\sample_1025_crop.nii.gz,train\crops\sample_1025_crop_label.nii.gz,train\dist_fields\sample_1025_distance_field_crop.nii.gz,0
sample_1024,train\crops\sample_1024_crop_warp_outlier.nii.gz,train\crops\sample_1024_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1024_distance_field_crop_warp_outlier.nii.gz,3
sample_1024,train\crops\sample_1024_crop_sphere_outlier_water.nii.gz,train\crops\sample_1024_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1024_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1024,train\crops\sample_1024_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1024_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1024_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1024,train\crops\sample_1024_crop.nii.gz,train\crops\sample_1024_crop_label.nii.gz,train\dist_fields\sample_1024_distance_field_crop.nii.gz,0
sample_1023,train\crops\sample_1023_crop_warp_outlier.nii.gz,train\crops\sample_1023_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1023_distance_field_crop_warp_outlier.nii.gz,3
sample_1023,train\crops\sample_1023_crop_sphere_outlier_water.nii.gz,train\crops\sample_1023_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1023_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1023,train\crops\sample_1023_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1023_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1023_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1023,train\crops\sample_1023_crop.nii.gz,train\crops\sample_1023_crop_label.nii.gz,train\dist_fields\sample_1023_distance_field_crop.nii.gz,0
sample_1021,train\crops\sample_1021_crop_warp_outlier.nii.gz,train\crops\sample_1021_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1021_distance_field_crop_warp_outlier.nii.gz,3
sample_1021,train\crops\sample_1021_crop_sphere_outlier_water.nii.gz,train\crops\sample_1021_crop_label_sphere_outlier_water.nii.gz,train\dist_fields\sample_1021_distance_field_crop_sphere_outlier_water.nii.gz,2
sample_1021,train\crops\sample_1021_crop_sphere_outlier_mean_std_inpaint.nii.gz,train\crops\sample_1021_crop_label_sphere_outlier_mean_std_inpaint.nii.gz,train\dist_fields\sample_1021_distance_field_crop_sphere_outlier_mean_std_inpaint.nii.gz,1
sample_1021,train\crops\sample_1021_crop.nii.gz,train\crops\sample_1021_crop_label.nii.gz,train\dist_fields\sample_1021_distance_field_crop.nii.gz,0
sample_1020,train\crops\sample_1020_crop_warp_outlier.nii.gz,train\crops\sample_1020_crop_label_warp_outlier.nii.gz,train\dist_fields\sample_1020_distance_field_crop_warp_outlier.nii.gz,3
